epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7408,0.82807,10.3704,0.67818,0.71863,1.26484,0.86427,0.82381,0.9196,0.62846,0,0,0,0,0.97766,8.95688,0.41293,1.14015,1.53718,0.000662132,0.000662132,0.000662132
2,34.7466,0.7853,8.88627,0.62409,0.625,1.22167,0.98252,0.94762,0.98956,0.78001,0.00694,0.00952,0.00038,0.00017,0.77043,7.0228,0.42777,0.70641,1.29161,0.00130249,0.00130249,0.00130249
3,47.9662,0.82749,7.94762,0.5911,0.64164,1.23926,0.95854,0.98095,0.99074,0.78179,0.1271,0.10952,0.02105,0.00247,0.73632,5.99135,0.40456,0.72116,1.29832,0.00191644,0.00191644,0.00191644
4,60.3795,0.78708,7.45445,0.57179,0.62339,1.2237,0.9714,0.97143,0.99305,0.82361,0.20992,0.19048,0.05145,0.00635,0.6691,5.50575,0.42793,0.51584,1.20094,0.0018812,0.0018812,0.0018812
5,72.4186,0.75546,6.97641,0.53907,0.59823,1.19013,0.98035,0.98095,0.99347,0.81617,0.35864,0.3381,0.14529,0.02044,0.68673,5.28837,0.46643,0.50794,1.23242,0.0018416,0.0018416,0.0018416
6,84.4467,0.73486,6.72043,0.49987,0.57602,1.18421,1,0.96071,0.9938,0.79264,0.31789,0.30476,0.12262,0.01588,0.77425,5.11403,0.37347,0.49594,1.26257,0.001802,0.001802,0.001802
7,96.4921,0.7168,6.44895,0.48048,0.55521,1.16625,0.98493,0.99048,0.99442,0.84166,0.57698,0.54286,0.39687,0.06988,0.60037,4.50231,0.30016,0.41486,1.11978,0.0017624,0.0017624,0.0017624
8,108.772,0.68109,6.187,0.4517,0.51512,1.14668,0.99056,0.99988,0.99467,0.83889,0.58484,0.56667,0.39257,0.06346,0.62457,4.38835,0.35562,0.41031,1.17701,0.0017228,0.0017228,0.0017228
9,120.91,0.67709,6.08451,0.43314,0.49826,1.14443,0.99388,0.97619,0.99419,0.84828,0.64334,0.61845,0.46345,0.07132,0.62575,4.38795,0.26889,0.4193,1.13857,0.0016832,0.0016832,0.0016832
10,132.919,0.67139,6.02948,0.41591,0.50757,1.13858,0.98128,0.99854,0.99462,0.83941,0.61504,0.6,0.43007,0.06872,0.62365,4.34739,0.26191,0.40839,1.16346,0.0016436,0.0016436,0.0016436
11,144.961,0.63454,5.79674,0.41451,0.47295,1.11891,0.9811,0.98855,0.99408,0.87183,0.62959,0.60476,0.41952,0.0661,0.54876,4.21943,0.25737,0.38063,1.05519,0.001604,0.001604,0.001604
