epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3051,1.41263,10.2119,0.69079,1.1758,1.73688,0.99325,0.98667,0.99458,0.56825,0,0,0,0,1.49169,9.95697,0.45106,1.01292,2.12479,0.000656566,0.000656566,0.000656566
2,21.6516,1.22033,9.04563,0.63213,0.91917,1.55781,0.93696,0.89171,0.93666,0.62762,0,0,0,0,1.26826,8.04058,0.40009,0.93011,1.81161,0.00131013,0.00131013,0.00131013
3,30.8108,1.24847,8.22391,0.6061,0.93951,1.58634,0.54747,0.60667,0.57951,0.25867,0.00042,0.00667,5e-05,1e-05,1.83304,7.77788,0.48238,1.72222,2.20607,0.0019505,0.0019505,0.0019505
4,39.8778,1.2864,8.01101,0.56821,1.00715,1.61986,0.90473,0.96667,0.97007,0.68534,0.05901,0.06333,0.00804,0.00082,0.96865,6.31785,0.32511,1.23301,1.49912,0.0019406,0.0019406,0.0019406
5,48.9429,1.25129,7.61434,0.53679,0.95149,1.58555,0.90935,0.96333,0.97646,0.51041,0.08234,0.07667,0.00918,0.00153,1.43592,5.76892,0.38092,0.87866,2.07544,0.0019208,0.0019208,0.0019208
6,57.964,1.18866,7.20972,0.49815,0.906,1.53441,0.9834,0.98705,0.9945,0.68857,0.3089,0.29333,0.13799,0.02085,1.06784,5.15332,0.34884,0.59672,1.61535,0.001901,0.001901,0.001901
7,66.971,1.15407,7.02007,0.46735,0.88066,1.51134,0.99328,0.98593,0.99461,0.6405,0.21574,0.21,0.05709,0.00721,1.24871,5.11501,0.26597,0.66043,1.78417,0.0018812,0.0018812,0.0018812
8,75.9791,1.14539,6.75662,0.4458,0.88331,1.5043,0.98785,0.99,0.99373,0.67095,0.54015,0.51,0.32869,0.04816,1.12053,4.66073,0.23216,0.61207,1.61949,0.0018614,0.0018614,0.0018614
9,84.9469,1.13452,6.6976,0.42483,0.8608,1.49322,0.99293,0.99,0.99477,0.68724,0.59829,0.55333,0.38499,0.05507,1.06409,4.52543,0.20207,0.62868,1.53843,0.0018416,0.0018416,0.0018416
10,94.0052,1.09143,6.43321,0.41354,0.8245,1.45812,0.99902,0.99,0.99493,0.63552,0.56353,0.55667,0.34145,0.04977,1.29136,4.55973,0.20576,0.78346,1.84166,0.0018218,0.0018218,0.0018218
11,103.015,1.10694,6.45148,0.40282,0.84884,1.4661,0.99836,0.99,0.98714,0.6873,0.60012,0.59,0.45798,0.07613,1.20681,4.37747,0.19559,0.58889,1.71151,0.001802,0.001802,0.001802
12,112.074,1.08648,6.37,0.38692,0.84458,1.45548,0.98304,0.99667,0.99349,0.70453,0.52269,0.53,0.29578,0.04788,1.09074,4.47898,0.19276,0.51005,1.53897,0.0017822,0.0017822,0.0017822
13,121.158,1.04347,6.07842,0.38046,0.79189,1.41931,0.97579,0.98667,0.98937,0.69541,0.68899,0.69667,0.52362,0.08474,1.07189,4.21082,0.21417,0.57673,1.51097,0.0017624,0.0017624,0.0017624
14,130.172,1.06171,6.12112,0.37584,0.79385,1.43584,0.98997,0.98726,0.98476,0.78006,0.67163,0.66667,0.49612,0.07458,0.84755,4.20617,0.20099,0.50404,1.3551,0.0017426,0.0017426,0.0017426
15,139.251,1.02737,5.86791,0.36699,0.7637,1.41872,0.99663,0.98635,0.99454,0.64232,0.77658,0.77667,0.69014,0.12587,1.28212,3.94083,0.15158,0.56318,1.77547,0.0017228,0.0017228,0.0017228
16,148.336,1.04331,5.74733,0.34976,0.77387,1.41159,0.98834,0.99,0.99415,0.69905,0.62573,0.62667,0.43257,0.07003,1.07298,3.99358,0.1617,0.57345,1.57729,0.001703,0.001703,0.001703
17,157.374,1.00419,5.56778,0.34695,0.74045,1.40305,0.98858,0.99,0.9948,0.74325,0.65616,0.64249,0.50272,0.08243,0.99098,4.08191,0.17926,0.52446,1.46815,0.0016832,0.0016832,0.0016832
18,166.422,0.99518,5.6688,0.34761,0.75006,1.39569,0.98126,0.99667,0.9915,0.73412,0.67313,0.68333,0.50104,0.09232,0.95003,3.94681,0.15595,0.50749,1.43905,0.0016634,0.0016634,0.0016634
19,175.559,0.99842,5.40954,0.34465,0.75994,1.38789,0.99002,0.9919,0.9919,0.66651,0.53586,0.54333,0.33854,0.04918,1.20885,4.1779,0.17066,0.55373,1.68641,0.0016436,0.0016436,0.0016436
20,184.693,0.98153,5.39665,0.33812,0.72718,1.38547,0.98883,0.99667,0.99295,0.69451,0.77056,0.77667,0.67401,0.13329,1.06445,3.66968,0.15304,0.49871,1.56833,0.0016238,0.0016238,0.0016238
21,193.769,0.99563,5.41173,0.33923,0.72995,1.39726,0.99009,0.99667,0.99463,0.75965,0.71868,0.70333,0.57338,0.10133,0.91877,3.86542,0.16076,0.46538,1.42495,0.001604,0.001604,0.001604
22,203.004,0.96391,5.27404,0.33202,0.71818,1.36619,0.99584,0.98667,0.9949,0.73377,0.86499,0.86667,0.83596,0.16754,0.99134,3.6394,0.15893,0.4737,1.46561,0.0015842,0.0015842,0.0015842
23,212.242,0.94835,5.31919,0.32533,0.70077,1.34604,0.99157,0.99667,0.99373,0.78496,0.88279,0.88667,0.80665,0.15458,0.84257,3.62974,0.13033,0.45237,1.29724,0.0015644,0.0015644,0.0015644
24,221.316,0.9388,5.22461,0.3184,0.69165,1.34195,0.99002,0.99667,0.99487,0.80669,0.81084,0.81667,0.71124,0.15667,0.75203,3.64826,0.13232,0.39642,1.2354,0.0015446,0.0015446,0.0015446
25,230.454,0.95835,5.20699,0.32034,0.70988,1.35796,0.99599,0.99,0.99483,0.72182,0.89869,0.89333,0.81998,0.17923,1.0618,3.4756,0.15373,0.45525,1.53605,0.0015248,0.0015248,0.0015248
26,239.578,0.90742,5.11042,0.31809,0.68017,1.32117,0.99265,0.99667,0.99396,0.71923,0.83993,0.84333,0.72258,0.17473,1.01329,3.48699,0.12422,0.46521,1.46641,0.001505,0.001505,0.001505
27,249.205,0.93232,5.09881,0.30954,0.68516,1.33701,0.99223,0.99667,0.99309,0.74485,0.88601,0.89,0.80543,0.1869,0.95776,3.42352,0.1298,0.48023,1.40709,0.0014852,0.0014852,0.0014852
28,258.581,0.91515,4.91381,0.29463,0.67352,1.33382,0.99391,0.99667,0.9946,0.7522,0.91343,0.91667,0.85889,0.18495,0.89208,3.29127,0.12899,0.45786,1.44767,0.0014654,0.0014654,0.0014654
29,267.985,0.92182,4.9559,0.29575,0.66727,1.33274,0.99664,0.98967,0.99487,0.76181,0.8545,0.84667,0.76986,0.16472,0.8768,3.48519,0.1305,0.413,1.38289,0.0014456,0.0014456,0.0014456
30,277.47,0.9,4.85196,0.29552,0.66073,1.32552,0.99743,0.99,0.99468,0.74327,0.88684,0.88,0.79819,0.17768,0.91844,3.49677,0.14361,0.49219,1.38032,0.0014258,0.0014258,0.0014258
31,287.75,0.90221,4.84184,0.28612,0.65697,1.31638,0.99528,0.99,0.99493,0.82553,0.90909,0.90333,0.88163,0.1962,0.65484,3.41483,0.12806,0.38504,1.18056,0.001406,0.001406,0.001406
32,299.087,0.85586,4.71474,0.29036,0.62837,1.2933,0.98989,0.99,0.99455,0.73881,0.86655,0.86667,0.83333,0.19795,0.90983,3.40728,0.11685,0.43113,1.4306,0.0013862,0.0013862,0.0013862
33,311.47,0.89101,4.84118,0.28441,0.64123,1.31025,0.9892,0.99667,0.9949,0.78092,0.87883,0.87333,0.8462,0.22209,0.84134,3.34023,0.11636,0.42338,1.33512,0.0013664,0.0013664,0.0013664
34,323.3,0.86297,4.79119,0.28872,0.6243,1.29739,0.99539,0.99,0.99336,0.81086,0.9118,0.90667,0.84426,0.22583,0.74211,3.34204,0.10365,0.38325,1.19937,0.0013466,0.0013466,0.0013466
35,335.458,0.87381,4.75699,0.28075,0.63804,1.29596,0.98944,0.99667,0.99467,0.77356,0.8637,0.87,0.78938,0.20688,0.86193,3.28871,0.10409,0.4163,1.35602,0.0013268,0.0013268,0.0013268
36,347.639,0.85418,4.74724,0.28035,0.63009,1.29334,0.99332,0.99192,0.99466,0.76807,0.894,0.89,0.84653,0.2313,0.95814,3.26519,0.10924,0.42262,1.41262,0.001307,0.001307,0.001307
37,357.916,0.83916,4.63446,0.27626,0.61766,1.27598,0.99798,0.99,0.9949,0.80698,0.91733,0.91,0.86553,0.2342,0.75493,3.2002,0.11267,0.37824,1.23192,0.0012872,0.0012872,0.0012872
38,367.867,0.84758,4.5457,0.27307,0.61731,1.28295,0.99654,0.99667,0.99497,0.82127,0.88207,0.88333,0.82902,0.2019,0.7485,3.36143,0.09353,0.37135,1.21593,0.0012674,0.0012674,0.0012674
39,378.22,0.8339,4.49037,0.26982,0.59934,1.26712,0.98937,0.99667,0.99332,0.7988,0.87807,0.87333,0.78459,0.20709,0.75651,3.29159,0.10179,0.37253,1.23873,0.0012476,0.0012476,0.0012476
40,389.2,0.84451,4.5375,0.27289,0.61142,1.27886,0.99191,0.99667,0.99493,0.80863,0.87577,0.88,0.78925,0.19608,0.81246,3.34015,0.10864,0.3978,1.31513,0.0012278,0.0012278,0.0012278
41,401.083,0.85349,4.59702,0.26961,0.60314,1.28837,0.99581,0.99,0.99487,0.75099,0.89857,0.89333,0.83159,0.20136,0.88936,3.36092,0.10313,0.42136,1.38756,0.001208,0.001208,0.001208
42,412.506,0.82226,4.36648,0.26617,0.593,1.26604,0.99671,0.99,0.99493,0.84222,0.90049,0.90667,0.86833,0.24461,0.65493,3.19852,0.09715,0.34769,1.16747,0.0011882,0.0011882,0.0011882
43,422.474,0.81335,4.35581,0.26617,0.59141,1.257,0.99523,0.99,0.99473,0.82707,0.86117,0.85667,0.81124,0.22767,0.71269,3.27665,0.10544,0.37951,1.20714,0.0011684,0.0011684,0.0011684
44,432.337,0.83223,4.52014,0.26499,0.61768,1.27556,0.99416,0.99,0.99323,0.76414,0.89709,0.89333,0.84132,0.22298,0.88115,3.19878,0.10874,0.39284,1.37267,0.0011486,0.0011486,0.0011486
45,442.633,0.8348,4.39047,0.26368,0.59613,1.26701,0.99427,0.99667,0.99497,0.86326,0.89736,0.9,0.83271,0.23546,0.61553,3.21885,0.11523,0.33909,1.11958,0.0011288,0.0011288,0.0011288
46,453.31,0.84309,4.49052,0.26615,0.61672,1.28308,0.99529,0.99667,0.99497,0.80759,0.90875,0.91,0.88372,0.2658,0.78963,3.18908,0.09005,0.38377,1.2509,0.001109,0.001109,0.001109
47,463.622,0.83032,4.38841,0.25888,0.60618,1.26931,0.992,0.99667,0.9948,0.85236,0.90903,0.91333,0.84873,0.24671,0.60876,3.14572,0.1062,0.34684,1.1071,0.0010892,0.0010892,0.0010892
48,474.036,0.82414,4.38675,0.25993,0.60405,1.27303,0.9932,1,0.99493,0.85191,0.87621,0.88,0.81579,0.26387,0.67935,3.14451,0.10221,0.35493,1.20792,0.0010694,0.0010694,0.0010694
49,484.278,0.78842,4.21757,0.24719,0.56439,1.23588,0.99276,0.99667,0.9949,0.82844,0.90643,0.91,0.84911,0.24139,0.68995,3.22681,0.09114,0.356,1.17852,0.0010496,0.0010496,0.0010496
50,494.467,0.78834,4.31544,0.25723,0.56261,1.23362,0.99878,0.99,0.99483,0.85441,0.9315,0.92333,0.87343,0.24728,0.60504,3.1672,0.10622,0.33549,1.1362,0.0010298,0.0010298,0.0010298
51,504.309,0.81688,4.24756,0.25462,0.58591,1.24678,0.99296,0.99667,0.99497,0.7916,0.90993,0.91333,0.88652,0.2855,0.82186,3.10859,0.10105,0.37851,1.27783,0.00101,0.00101,0.00101
52,514.283,0.80589,4.28899,0.25266,0.57933,1.24664,0.99304,0.99667,0.99497,0.8468,0.8898,0.89333,0.83056,0.24803,0.64675,3.08382,0.08381,0.33632,1.14174,0.0009902,0.0009902,0.0009902
53,524.267,0.77842,4.15222,0.24652,0.5557,1.23166,0.99667,0.99914,0.99497,0.89131,0.91255,0.91333,0.85313,0.25725,0.51353,3.10992,0.09831,0.30507,1.04366,0.0009704,0.0009704,0.0009704
54,534.324,0.79016,4.19078,0.24355,0.57167,1.23676,0.99315,0.99667,0.99497,0.83118,0.90106,0.89333,0.8726,0.26543,0.72567,3.15213,0.09723,0.346,1.17225,0.0009506,0.0009506,0.0009506
55,544.371,0.79575,4.2768,0.2476,0.58493,1.25489,0.99274,0.99667,0.99493,0.86491,0.89976,0.90333,0.84601,0.25894,0.56255,3.07549,0.10533,0.32367,1.08073,0.0009308,0.0009308,0.0009308
56,554.639,0.79043,4.12168,0.24202,0.55783,1.24932,0.99563,0.99667,0.99497,0.87397,0.89885,0.9,0.8398,0.25573,0.55506,3.06881,0.10638,0.32498,1.07864,0.000911,0.000911,0.000911
57,564.861,0.75779,4.01697,0.24752,0.53626,1.21459,0.99846,0.99,0.9949,0.8111,0.90766,0.9,0.84494,0.26512,0.80592,3.08183,0.09357,0.36107,1.28171,0.0008912,0.0008912,0.0008912
58,575.47,0.76764,4.17365,0.24683,0.54441,1.21855,0.9958,0.99667,0.99497,0.86045,0.92917,0.93,0.88285,0.26186,0.57223,3.11505,0.09324,0.32378,1.09595,0.0008714,0.0008714,0.0008714
59,585.483,0.78705,4.15887,0.24975,0.57573,1.24723,0.99267,1,0.995,0.85855,0.91393,0.90667,0.8986,0.28952,0.60997,3.05185,0.0932,0.32463,1.08975,0.0008516,0.0008516,0.0008516
60,595.227,0.74537,4.01773,0.24102,0.53935,1.21352,0.9925,0.99667,0.99493,0.84703,0.91616,0.92,0.87333,0.27487,0.63269,3.09012,0.08831,0.31389,1.14955,0.0008318,0.0008318,0.0008318
61,605.415,0.75156,3.96132,0.23896,0.53201,1.21133,0.9921,0.99667,0.99493,0.82396,0.90912,0.91333,0.88474,0.28077,0.68831,3.06158,0.08047,0.33923,1.17324,0.000812,0.000812,0.000812
62,615.107,0.76248,3.98515,0.23239,0.53838,1.22063,0.99682,0.99,0.99497,0.85515,0.89945,0.89333,0.82088,0.22974,0.57641,3.15259,0.07885,0.32244,1.08321,0.0007922,0.0007922,0.0007922
63,625.04,0.73875,3.9526,0.2348,0.52194,1.21373,0.9921,0.99667,0.9949,0.85812,0.93707,0.92,0.92158,0.29752,0.62252,3.03544,0.08661,0.31108,1.12332,0.0007724,0.0007724,0.0007724
64,634.815,0.74116,3.90198,0.23517,0.52528,1.208,0.99584,1,0.995,0.85137,0.906,0.89961,0.83973,0.26139,0.65345,3.04383,0.08682,0.31503,1.14222,0.0007526,0.0007526,0.0007526
65,644.464,0.75466,3.99862,0.23035,0.53082,1.20536,0.99875,0.99,0.99493,0.88144,0.93482,0.92667,0.93236,0.30007,0.54598,2.99902,0.07879,0.30197,1.0575,0.0007328,0.0007328,0.0007328
66,654.154,0.73312,3.92413,0.23449,0.51876,1.21031,0.99338,0.99976,0.99497,0.85712,0.92337,0.92667,0.90907,0.29416,0.62681,2.99141,0.08388,0.32332,1.12105,0.000713,0.000713,0.000713
67,663.966,0.74089,3.98017,0.23604,0.53187,1.21146,0.99286,1,0.99497,0.8613,0.91799,0.91,0.86717,0.27686,0.61045,3.00441,0.08276,0.31159,1.11999,0.0006932,0.0006932,0.0006932
68,673.678,0.73745,3.91229,0.23216,0.51965,1.21383,0.99338,0.99986,0.99497,0.85679,0.91014,0.91333,0.85669,0.27682,0.63296,2.98514,0.08071,0.3115,1.11948,0.0006734,0.0006734,0.0006734
69,683.898,0.70976,3.85446,0.22659,0.51429,1.18375,0.99667,0.99897,0.99497,0.87986,0.91473,0.91667,0.90735,0.29988,0.57452,2.9496,0.08507,0.29426,1.05991,0.0006536,0.0006536,0.0006536
70,694.41,0.72285,3.9192,0.23018,0.51782,1.20601,0.99338,0.99994,0.995,0.88098,0.9013,0.9,0.82324,0.24625,0.53721,3.03399,0.08262,0.28379,1.04006,0.0006338,0.0006338,0.0006338
71,705.404,0.74425,3.85849,0.22513,0.50946,1.20229,0.9947,1,0.99497,0.85481,0.90009,0.90333,0.83416,0.26497,0.57736,2.98329,0.07653,0.32537,1.11593,0.000614,0.000614,0.000614
72,715.698,0.72824,3.85374,0.22885,0.50827,1.20722,0.98964,0.99667,0.9949,0.85139,0.93005,0.93667,0.88836,0.26326,0.6502,2.96052,0.08314,0.31766,1.11464,0.0005942,0.0005942,0.0005942
73,725.913,0.72878,3.82913,0.22882,0.51093,1.19823,0.99302,1,0.99493,0.88656,0.89703,0.90333,0.85103,0.27938,0.53437,3.0055,0.07491,0.292,1.03632,0.0005744,0.0005744,0.0005744
74,736.357,0.72691,3.90499,0.22394,0.5056,1.19653,0.99304,1,0.99497,0.85013,0.91028,0.91667,0.86476,0.27606,0.61687,2.95951,0.07805,0.305,1.11955,0.0005546,0.0005546,0.0005546
75,746.807,0.72085,3.76054,0.21996,0.49833,1.1935,0.99441,1,0.995,0.87949,0.92375,0.93,0.8757,0.26627,0.54298,2.97877,0.07505,0.29931,1.05967,0.0005348,0.0005348,0.0005348
76,756.854,0.70712,3.79423,0.23161,0.51201,1.18988,0.99292,1,0.99497,0.86707,0.93103,0.92333,0.87986,0.28765,0.60501,2.94047,0.07792,0.30676,1.08519,0.000515,0.000515,0.000515
77,767.07,0.7072,3.67376,0.22332,0.49791,1.1899,0.99607,1,0.99497,0.87738,0.90971,0.91333,0.85397,0.27259,0.55488,2.98809,0.07079,0.30261,1.05308,0.0004952,0.0004952,0.0004952
78,777.406,0.69661,3.68374,0.22076,0.48642,1.17478,0.99205,0.99667,0.99493,0.87236,0.89909,0.90333,0.85937,0.28696,0.59279,2.94923,0.07306,0.29547,1.07335,0.0004754,0.0004754,0.0004754
79,788.848,0.69543,3.68947,0.22278,0.49499,1.18376,0.99607,1,0.995,0.89224,0.92634,0.93,0.91018,0.30535,0.55,2.93896,0.07477,0.28536,1.04079,0.0004556,0.0004556,0.0004556
80,800.366,0.71026,3.70583,0.21958,0.49892,1.19026,0.99465,1,0.995,0.88602,0.90812,0.91333,0.85981,0.29555,0.55994,2.93313,0.07969,0.29258,1.04868,0.0004358,0.0004358,0.0004358
81,811.408,0.6887,3.67939,0.21936,0.48068,1.17671,0.99616,1,0.995,0.87336,0.92642,0.93,0.88054,0.29383,0.59428,2.86686,0.0758,0.29044,1.07839,0.000416,0.000416,0.000416
82,822.871,0.69978,3.69856,0.21791,0.48245,1.18122,0.99297,0.99667,0.99493,0.8783,0.92323,0.92667,0.90084,0.30471,0.60046,2.88954,0.0681,0.29898,1.07927,0.0003962,0.0003962,0.0003962
83,833.25,0.68493,3.62679,0.21702,0.4753,1.17661,0.99633,1,0.99497,0.8786,0.91006,0.91333,0.84821,0.2812,0.54476,2.9503,0.06925,0.27873,1.03452,0.0003764,0.0003764,0.0003764
84,843.568,0.67791,3.63833,0.22041,0.47732,1.16017,0.99604,1,0.995,0.83119,0.89975,0.90333,0.84495,0.29716,0.70942,2.91147,0.07671,0.31409,1.1519,0.0003566,0.0003566,0.0003566
85,853.889,0.69338,3.69452,0.22234,0.4868,1.18454,0.99618,1,0.995,0.86955,0.90984,0.91333,0.86694,0.29872,0.61475,2.88861,0.07844,0.28748,1.07475,0.0003368,0.0003368,0.0003368
86,864.378,0.68016,3.5117,0.21315,0.47186,1.17093,0.99332,1,0.995,0.86906,0.90716,0.91333,0.85439,0.28284,0.61362,2.93361,0.06853,0.28915,1.08314,0.000317,0.000317,0.000317
87,875.528,0.68423,3.61283,0.21971,0.47976,1.18083,0.99309,1,0.99497,0.88729,0.92357,0.93,0.89816,0.3106,0.56411,2.88873,0.07649,0.27914,1.03742,0.0002972,0.0002972,0.0002972
88,885.42,0.66623,3.47075,0.21295,0.46036,1.15433,0.9932,1,0.995,0.8902,0.9236,0.93,0.90233,0.31912,0.54593,2.86284,0.07121,0.27232,1.04176,0.0002774,0.0002774,0.0002774
89,895.238,0.67345,3.57243,0.21764,0.46813,1.17396,0.99602,1,0.995,0.88022,0.90968,0.91333,0.90857,0.31895,0.57509,2.89753,0.06337,0.28409,1.05867,0.0002576,0.0002576,0.0002576
